inn,issuer,status,documents,procedure_documents
0264011929,"Aкционерное общество ""Нефтекамская кожгалантерейная фабрика""",has_documents,61,2
0268008010,"Акционерное общество ""Башкирская содовая компания""",empty_page,0,0
0323053578,"Акционерное общество ""Улан-Удэнское приборостроительное производственное объединение""",empty_page,0,0
1001004419,"Публичное акционерное общество ""Карат""",empty_page,0,0
1021050068,"Публичное акционерное общество ""Шуялес""",empty_page,0,0
1102015174,"Акционерное общество ""Коминефтегеофизика""",has_documents,111,0
1327039199,"Публичное акционерное общество ""Ремстрой""",empty_page,0,0
1500000120,"Публичное Акционерное Общество ""Кристалл""",has_documents,4,0
1660004878,"Акционерное общество ""Казанский завод компрессорного машиностроения""",empty_page,0,0
1831002591,"Публичное акционерное общество ""БыстроБанк""",has_documents,148,0
2301010479,"Публичное акционерное общество ""Санаторий ""Маяк""",empty_page,0,0
2308024086,"Публичное акционерное общество ""Кубинтерсвязь""",empty_page,0,0
2308026372,"Акционерное Общество ""Краснодарский завод ""Нефтемаш""",empty_page,0,0
2308119595,"Публичное акционерное общество ""ТНС энерго Кубань""",has_documents,432,0
2310007715,"Акционерное общество ""Краснодарский ЗИП""",empty_page,0,0
2310013155,"Акционерное общество ""Газпром электрогаз""",empty_page,0,0
2310043294,"Открытое акционерное общество ""Масложиркомбинат ""Краснодарский""",empty_page,0,0
2325006880,"Публичное акционерное общество ""Хадыженский машиностроительный завод""",empty_page,0,0
2349006287,"Публичное акционерное общество ""Славянский кирпич""",empty_page,0,0
2351004520,"Публичное акционерное общество ""Марьинское""",empty_page,0,0
2354001982,Публичное акционерное общество им. С.М. Кирова,empty_page,0,0
2356005982,"Публичное акционерное общество агропромышленная фирма ""Мир""",empty_page,0,0
2429001238,"Публичное акционерное общество ""Интикульское""",empty_page,0,0
2451000180,"Публичное акционерное общество ""Торговый центр ""Красноярье""",empty_page,0,0
2464003340,"публичное акционерное общество ""Химико-металлургический завод""",empty_page,0,0
2465037737,"Публичное акционерное общество ""Санкт-Петербургский Индустриальный Акционерный Банк""",empty_page,0,0
2537009770,"Открытое акционерное общество ""Владивостокский морской рыбный порт""",empty_page,0,0
2613002843,"Публичное акционерное общество ""Левокумское""",empty_page,0,0
2618003921,"Публичное акционерное общество ""Винсадское""",empty_page,0,0
2801015394,"Публичное акционерное общество ""Восточный экспресс банк""",empty_page,0,0
2920000414,"Публичное акционерное общество ""Северо-Онежский бокситовый рудник""",empty_page,0,0
3015012854,"Публичное акционерное общество ""Астраханский порт""",empty_page,0,0
3123004089,"Открытое акционерное общество ""Белгородасбестоцемент""",empty_page,0,0
3232000246,"Открытое акционерное общество ""Брянсксантехника""",empty_page,0,0
3327210280,"Акционерное общество ""Владимирглавснаб""",empty_page,0,0
3402003455,"Акционерное общество ""Быковское хлебоприемное предприятие""",empty_page,0,0
3443009921,"Публичное акционерное общество ""Международный аэропорт Волгоград""",empty_page,0,0
3509002623,"Публичное акционерное общество Племзавод ""Заря""",has_documents,60,0
3527000989,"Публичное акционерное общество ""Сокольский целлюлозно-бумажный комбинат""",empty_page,0,0
3528009342,"Публичное акционерное общество ""Завод железобетонных изделий и конструкций""",empty_page,0,0
3632000280,"Публичное акционерное общество ""Восток""",empty_page,0,0
3818000687,"Акционерное общество ""Осетровский речной порт""",has_documents,168,0
4003003825,"Публичное акционерное общество Агропромышленная фирма ""Кривское""",empty_page,0,0
4009001415,"Публичное акционерное общество ""Козельский механический завод""",empty_page,0,0
4024002029,"Публичное акционерное общество ""Агрегатный завод""",has_documents,296,3
4025019280,"Публичное акционерное общество ""Приборный завод ""Сигнал""",empty_page,0,0
4029030252,"Публичное акционерное общество ""Калужская сбытовая компания""",empty_page,0,0
4201000625,"Открытое акционерное общество ""Анжерский машиностроительный завод""",empty_page,0,0
4205001274,"Публичное акционерное общество ""Кокс""",empty_page,0,0
4205109214,"Публичное акционерное общество ""Кузбасская энергетическая сбытовая компания""",empty_page,0,0
4345000947,"Публичное акционерное общество ""Кировский завод ""Маяк""",empty_page,0,0
4702000048,"Публичное акционерное общество ""Волховчанка""",empty_page,0,0
4715003007,"Публичное акционерное общество ""Сельскохозяйственное предприятие Андреевское""",empty_page,0,0
4717001460,"Публичное акционерное общество ""Племенной завод ""Торосово""""",empty_page,0,0
4720002778,"Публичное акционерное общество ""Предпортовый""",empty_page,0,0
5003003432,"Публичное акционерное общество ""Агрокомбинат ""Московский""",empty_page,0,0
5004002329,"Акционерное общество ""Волоколамскхлеб""",empty_page,0,0
5005001543,"Публичное акционерное общество ""Барановское""",empty_page,0,0
5005013891,"Публичное акционерное общество ""Лесной""",empty_page,0,0
5010003803,"Публичное акционерное общество ""Приборный завод ""ТЕНЗОР""",empty_page,0,0
5019001871,"Публичное акционерное общество ""Гофрон""",empty_page,0,0
5022013877,"Открытое акционерное общество ""Валерия""",empty_page,0,0
5025001397,"Публичное акционерное общество ""Лобненский завод строительного фарфора""",empty_page,0,0
5028003089,"Публичное акционерное общество ""Можайское оптово-розничное предприятие""",empty_page,0,0
5029014809,"Публичное акционерное общество ""Краснополянская птицефабрика""",empty_page,0,0
5030029038,"Акционерное общество ""Кузнецовский комбинат""",empty_page,0,0
5031008224,"Публичное акционерное общество ""Эталон""",has_documents,95,2
5032000228,"Публичное акционерное общество ""Голицынская птицефабрика""",empty_page,0,0
5034050231,"Акционерное общество ""Научно-производственное предприятие ""Респиратор""",has_documents,261,5
5046005770,"Акционерное общество ""Троицкая камвольная фабрика""",empty_page,0,0
5053013700,"Публичное акционерное общество ""Управление механизации №63""",empty_page,0,0
5100000010,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МУРМАНСКИЙ ТРАЛОВЫЙ ФЛОТ""",empty_page,0,0
5245000790,"Публичное акционерное общество ""Богородский швейно-галантерейный комбинат""",empty_page,0,0
5252000470,"Акционерное общество ""Гидроагрегат""",empty_page,0,0
5252000488,"Публичное акционерное общество ""Медико-инструментальный завод им. М. Горького""",empty_page,0,0
5256003955,"Публичное акционерное общество ""ГОТХ""",empty_page,0,0
5262001265,"Акционерное общество ""Нижегородский институт технологии и организации производства""",has_documents,231,0
5321034434,"Публичное акционерное общество ""Контур""",empty_page,0,0
5403101628,"Публичное акционерное общество ""Тяжстанкогидропресс""",empty_page,0,0
5403102702,"Научно-производственное объединение ""ЭЛСИБ"" публичное акционерное общество",empty_page,0,0
5404154492,"Новосибирский социальный коммерческий банк ""Левобережный"" (публичное акционерное общество)",empty_page,0,0
5406011813,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОВОСИБИРСКИЙ ГОСУДАРСТВЕННЫЙ ПРОЕКТНЫЙ ИНСТИТУТ""",empty_page,0,0
5507003657,"Публичное акционерное общество проектно-промышленно-строительно-ремонтное объединение ""Омскагропромдорстрой""",has_documents,59,0
5508000306,"Публичное Акционерное Общество ""Иртышское пароходство""",empty_page,0,0
5835000698,"Публичное акционерное общество ""Пензенский завод компрессорного машиностроения""",empty_page,0,0
5836605167,"Публичное акционерное общество ""Электромеханика""",empty_page,0,0
5904000395,"Публичное акционерное общество ""Пермская научно-производственная приборостроительная компания""",empty_page,0,0
5904000902,"Публичное акционерное общество ""ПЕРМГРАЖДАНПРОЕКТ""",empty_page,0,0
5905013774,"Акционерное общество ""Такт""",empty_page,0,0
5918005160,"Акционерное общество ""Лысьвенский завод эмалированной посуды""",empty_page,0,0
6106001076,"Публичное акционерное общество ""Шахаевское""",empty_page,0,0
6149002370,"Публичное акционерное общество ""Миллеровский элеватор""",empty_page,0,0
6168002922,"Публичное акционерное общество ""ТНС энерго Ростов-на-Дону""",empty_page,0,0
6232000019,"Публичное акционерное общество ""Саста""",empty_page,0,0
6320004630,"Публичное акционерное общество ""Азотреммаш""",empty_page,0,0
6320004710,Публичное акционерное общество Трансаммиак,empty_page,0,0
6320004728,"Публичное акционерное общество ""Тольяттиазот""",empty_page,0,0
